ID,Tipo,Color,Material,Agregado,Cantidad,Precio Unitario,Precio Total,Fecha
99,Estante para farmacia,Negro,Melamina,Con puertas,4,3500,14000,2024-05-11
100,Casillero de 20 puertas,Gris,Melamina,Con espejo,10,2800,28000,2024-02-15
101,Gabetero de 3 cajas,Azul,Melamina,De hogar,9,1250,11250,2024-01-30
102,Gabetero de 4 cajas,Gris,Melamina,De hogar,10,1380,13800,2024-01-16
103,Silla mesedora,Blanco,Metal,Sin brazos,10,500,5000,2024-05-24
104,Casillero de 12 puertas,Blanco,Melamina,Sin chapa,9,2200,19800,2024-04-22
105,Gabetero de 2 cajas con chapa adicional,Rojo,Metal,De hogar,6,980,5880,2024-05-28
106,Casillero de 1 cuerpo y 4 puertas,Gris,Melamina,Con espejo,3,980,2940,2024-01-15
107,Estante para farmacia de dos cuerpos,Blanco,Metal,De pie,8,3550,28400,2024-04-06
108,Gabetero de 2 cajas con chapa adicional,Negro,Metal,De oficina,9,980,8820,2024-05-08
109,Gabetero de 4 cajas,Azul,Metal,De oficina,4,1380,5520,2024-01-25
110,Estante para farmacia,Gris,Melamina,De pared,9,3500,31500,2024-05-28
111,Casillero de 2 puertas,Negro,Melamina,Con chapa,7,980,6860,2024-04-23
112,Gabetero de 3 cajas,Azul,Metal,Con cerradura,8,1250,10000,2024-04-13
113,Gabetero de 3 cajas,Gris,Melamina,Sin cerradura,9,1250,11250,2024-03-19
114,Gabetero de 2 cajas sin chapa,Negro,Metal,Sin cerradura,7,830,5810,2024-03-21
115,Vitrina para farmacia,Negro,Melamina,De vidrio,1,1100,1100,2024-03-29
116,Camillas para masajes,Negro,Metal,Con espaldar movible,1,1250,1250,2024-05-17
117,Estante mostrador,Rojo,Metal,Sin puertas,10,520,5200,2024-04-30
118,Silla estática,Negro,Metal,No acolchonada,10,140,1400,2024-01-22
119,Casillero de 1 cuerpo y 4 puertas,Blanco,Metal,Con chapa,8,980,7840,2024-05-02
120,Vitrina para farmacia,Negro,Melamina,De madera,2,1100,2200,2024-03-01
121,Silla de peluquería,Azul,Metal,Sin brazos,6,210,1260,2024-04-05
122,Camilla de ginecología,Blanco,Metal,Fija,3,1850,5550,2024-04-28
123,Gabetero de 2 cajas sin chapa,Negro,Melamina,Con cerradura,10,830,8300,2024-01-27
124,Silla de peluquería,Rojo,Melamina,Sin brazos,7,210,1470,2024-02-23
125,Silla de peluquería,Negro,Metal,Con brazos,9,210,1890,2024-03-28
126,Silla estática,Gris,Metal,No acolchonada,10,140,1400,2024-05-28
127,Estante para farmacia,Rojo,Metal,Sin puertas,6,3500,21000,2024-03-08
128,Casillero de cuatro puertas,Negro,Metal,Sin espejo,6,1550,9300,2024-04-12
129,Gabetero de 2 cajas con chapa adicional,Rojo,Metal,Sin cerradura,7,980,6860,2024-02-25
130,Gabetero de 2 cajas sin chapa,Azul,Melamina,De hogar,8,830,6640,2024-05-01
131,Camillas para masajes,Blanco,Metal,Fija,3,1250,3750,2024-03-09
132,Gabetero de 5 cajas,Blanco,Melamina,Sin cerradura,6,1600,9600,2024-05-01
133,Casillero de cuatro puertas,Blanco,Metal,Sin chapa,8,1550,12400,2024-04-17
134,Escritorio ejecutivo de siete cajas,Blanco,Metal,Con ruedas,3,1500,4500,2024-02-24
135,Casillero de 12 puertas,Blanco,Melamina,Con chapa,8,2200,17600,2024-05-05
136,Gabetero de 4 cajas,Azul,Metal,Con cerradura,9,1380,12420,2024-01-29
137,Casillero de cuatro puertas,Azul,Melamina,Sin chapa,1,1550,1550,2024-05-02
138,Casillero de 6 puertas,Rojo,Melamina,Sin chapa,8,1750,14000,2024-01-27
139,Casillero de 6 puertas,Gris,Melamina,Con espejo,6,1750,10500,2024-03-03
140,Casillero de dos puertas,Blanco,Melamina,Sin espejo,10,1850,18500,2024-05-20
141,Gabinete de dos cuerpos,Azul,Metal,Sin agregado,3,1850,5550,2024-05-12
142,Archivador de Chapas Individuales,Azul,Melamina,Sin agregado,2,1400,2800,2024-01-25
143,Casillero de 9 puertas,Gris,Metal,Con espejo,4,1850,7400,2024-03-02
144,Estante de puertas corredizas,Gris,Melamina,Con puertas,6,1750,10500,2024-02-16
145,Lámpara de cuello ganzo,Gris,Metal,Sin agregado,2,550,1100,2024-02-20
146,Casillero de 12 puertas,Rojo,Melamina,Sin chapa,10,2200,22000,2024-02-02
147,Estante para farmacia de dos cuerpos,Blanco,Melamina,Sin puertas,7,3550,24850,2024-05-20
148,Gabetero con chapa independiente,Blanco,Melamina,De hogar,8,1750,14000,2024-05-09
149,Silla de espera,Gris,Metal,No acolchonada,9,950,8550,2024-01-29
150,Gradilla de 2 peldaños,Negro,Metal,Sin agregado,2,450,900,2024-05-11
151,Silla de peluquería,Gris,Metal,Acolchonada,8,210,1680,2024-03-19
152,Gabinete de dos cuerpos,Gris,Melamina,Sin agregado,1,1850,1850,2024-05-20
153,Gabetero con chapa independiente,Rojo,Metal,De oficina,8,1750,14000,2024-02-22
154,Silla giratoria,Blanco,Metal,No acolchonada,10,990,9900,2024-03-29
155,Casillero de cuatro puertas,Azul,Metal,Sin chapa,6,1550,9300,2024-03-22
156,Ropero casillero,Negro,Metal,Sin agregado,2,2500,5000,2024-02-10
157,Casillero de 12 puertas,Negro,Melamina,Sin chapa,9,2200,19800,2024-05-12
158,Casillero de 9 puertas,Negro,Metal,Con chapa,10,1850,18500,2024-02-22
159,Camilla tipo escritorio,Negro,Metal,Fija,1,2750,2750,2024-05-21
160,Archivador de Chapas Individuales,Negro,Metal,Sin agregado,2,1400,2800,2024-04-09
161,Gabetero de 4 cajas,Azul,Metal,Con cerradura,9,1380,12420,2024-01-18
162,Archivador de Chapas Individuales,Azul,Melamina,Sin agregado,1,1400,1400,2024-01-13
163,Silla giratoria,Negro,Metal,Con brazos,8,990,7920,2024-01-25
164,Silla estática,Negro,Metal,Acolchonada,9,140,1260,2024-04-17
165,Casillero de 2 puertas,Rojo,Melamina,Con espejo,8,980,7840,2024-03-16
166,Negtoscopio,Gris,Melamina,Sin agregado,3,920,2760,2024-03-10
167,Gabetero de 2 cajas sin chapa,Azul,Metal,Sin cerradura,4,830,3320,2024-05-24
168,Camilla con Barillas,Azul,Melamina,Con espaldar movible,2,1850,3700,2024-05-06
169,Casillero de 12 puertas,Negro,Metal,Sin espejo,7,2200,15400,2024-05-06
170,Estante Archivador,Negro,Metal,Sin puertas,10,1250,12500,2024-03-05
171,Taburete médico,Rojo,Melamina,Sin agregado,2,630,1260,2024-03-03
172,Credenza,Gris,Melamina,Sin agregado,2,2100,4200,2024-04-29
173,Casillero de 6 puertas,Azul,Melamina,Sin chapa,7,1750,12250,2024-04-30
174,Casillero de dos puertas,Negro,Melamina,Con espejo,9,1850,16650,2024-05-25
175,Estante para farmacia,Negro,Metal,De pared,7,3500,24500,2024-05-16
176,Ropero casillero,Gris,Metal,Sin agregado,1,2500,2500,2024-05-09
177,Casillero de 1 cuerpo y 4 puertas,Blanco,Melamina,Con chapa,9,980,8820,2024-02-25
178,Gabinete de dos cuerpos,Blanco,Melamina,Sin agregado,1,1850,1850,2024-02-09
179,Casillero de 12 puertas,Rojo,Melamina,Con chapa,7,2200,15400,2024-03-23
180,Casillero de 12 puertas,Negro,Melamina,Con chapa,9,2200,19800,2024-01-11
181,Gabetero de 2 cajas con chapa adicional,Gris,Melamina,De hogar,8,980,7840,2024-02-11
182,Archivador de Chapas Individuales,Azul,Melamina,Sin agregado,1,1400,1400,2024-02-03
183,Silla de peluquería,Negro,Melamina,Acolchonada,10,210,2100,2024-04-24
184,Escritorio ejecutivo de siete cajas,Negro,Melamina,Fijo,2,1500,3000,2024-01-14
185,Horno semi-industrial,Negro,Melamina,Sin ventilador,2,2550,5100,2024-05-24
186,Gabetero con chapa independiente,Rojo,Metal,Con cerradura,4,1750,7000,2024-05-28
187,Silla de espera,Negro,Metal,Con brazos,4,950,3800,2024-02-25
188,Escritorio ejecutivo de siete cajas,Blanco,Metal,Fijo,3,1500,4500,2024-02-04
189,Estante para farmacia,Gris,Melamina,Sin puertas,3,3500,10500,2024-03-07
190,Escritorio ejecutivo de siete cajas,Negro,Melamina,Fijo,1,1500,1500,2024-03-10
191,Gabetero de 5 cajas,Azul,Metal,De hogar,8,1600,12800,2024-05-20
192,Casillero de 15 puertas,Gris,Metal,Con chapa,7,2290,16030,2024-05-11
193,Vitrina para farmacia,Negro,Melamina,Con iluminación,3,1100,3300,2024-02-25
194,Vitrina para farmacia,Negro,Metal,De madera,2,1100,2200,2024-02-15
195,Casillero de cuatro puertas,Rojo,Metal,Sin chapa,3,1550,4650,2024-01-17
196,Horno domestico,Negro,Melamina,Eléctrico,1,1350,1350,2024-03-27
197,Casillero de dos puertas,Azul,Metal,Sin espejo,9,1850,16650,2024-02-10
198,Silla estática con brazo,Gris,Melamina,Acolchonada,8,320,2560,2024-05-11
199,Casillero de 9 puertas,Gris,Melamina,Con espejo,9,1850,16650,2024-04-18
200,Mostrador para librería,Azul,Melamina,Sin agregado,3,900,2700,2024-02-12
201,Vitrina de puertas corredizas,Azul,Melamina,De madera,3,1900,5700,2024-05-21
202,Estante de puertas corredizas,Negro,Melamina,Con puertas,6,1750,10500,2024-02-08
203,Gabetero de 4 cajas,Rojo,Metal,De oficina,6,1380,8280,2024-02-10
204,Silla estática,Azul,Melamina,Sin brazos,4,140,560,2024-02-25
205,Estante Archivador,Negro,Metal,Con puertas,9,1250,11250,2024-02-02
206,Ropero casillero,Gris,Melamina,Sin agregado,3,2500,7500,2024-02-21
207,Estante de puertas corredizas,Gris,Melamina,Sin puertas,8,1750,14000,2024-04-04
208,Casillero de 9 puertas,Negro,Metal,Sin espejo,1,1850,1850,2024-03-10
209,Estante para farmacia,Gris,Metal,De pie,1,3500,3500,2024-02-20
210,Casillero de 1 cuerpo y 4 puertas,Gris,Melamina,Sin espejo,7,980,6860,2024-02-18
211,Gabetero de 2 cajas sin chapa,Negro,Metal,Con cerradura,10,830,8300,2024-05-23
212,Gabetero de 3 cajas,Azul,Metal,De oficina,9,1250,11250,2024-02-01
213,Casillero de 6 puertas,Rojo,Metal,Sin espejo,6,1750,10500,2024-02-18
214,Velador clínico,Blanco,Melamina,Sin agregado,2,650,1300,2024-05-23
215,Estante Archivador,Negro,Melamina,Con puertas,8,1250,10000,2024-02-28
216,Negtoscopio,Blanco,Metal,Sin agregado,2,920,1840,2024-01-24
217,Gabetero con chapa independiente,Azul,Metal,Con cerradura,7,1750,12250,2024-05-12
218,Horno semi-industrial,Blanco,Metal,Eléctrico,2,2550,5100,2024-04-05
219,Estante Archivador,Blanco,Metal,Sin puertas,9,1250,11250,2024-05-04
220,Mesa de trabajo,Blanco,Melamina,Con cajones,2,1500,3000,2024-02-25
221,Mesa de curación,Gris,Metal,Cuadrada,3,850,2550,2024-01-18
222,Silla estática con brazo,Negro,Melamina,Sin brazos,8,320,2560,2024-04-14
223,Casillero de dos puertas,Negro,Metal,Sin chapa,8,1850,14800,2024-05-11
224,Casillero de dos puertas,Azul,Melamina,Con espejo,8,1850,14800,2024-03-31
225,Silla de espera,Gris,Melamina,Sin brazos,8,950,7600,2024-01-28
226,Gabetero de 5 cajas,Blanco,Melamina,Con cerradura,6,1600,9600,2024-01-10
227,Gabetero de 2 cajas con chapa adicional,Gris,Melamina,De hogar,9,980,8820,2024-04-11
228,Estante para farmacia de dos cuerpos,Negro,Metal,De pie,10,3550,35500,2024-03-06
229,Biombo,Negro,Melamina,Sin agregado,2,450,900,2024-05-05
230,Cajero para supermercado,Blanco,Melamina,Sin agregado,1,1200,1200,2024-03-31
231,Estante Archivador,Negro,Metal,De pie,10,1250,12500,2024-03-21
232,Vitrina para farmacia,Rojo,Melamina,Con iluminación,3,1100,3300,2024-02-25
233,Vitrina para farmacia,Blanco,Metal,Con iluminación,1,1100,1100,2024-05-17
234,Mesa de instrumentación,Negro,Metal,Sin cajones,1,650,650,2024-03-05
235,Silla de espera,Gris,Melamina,Sin brazos,9,950,8550,2024-04-26
236,Estante mostrador,Rojo,Metal,De pared,6,520,3120,2024-03-04
237,Silla estática con brazo,Blanco,Melamina,Con brazos,9,320,2880,2024-05-23
238,Estante de puertas corredizas,Blanco,Metal,De pie,7,1750,12250,2024-02-03
239,Gabetero de 4 cajas,Blanco,Metal,De hogar,5,1380,6900,2024-03-15
240,Estanteria tipo vitrin,Gris,Melamina,De pared,8,650,5200,2024-02-28
241,Escritorio secretarial de cuatro cajas con chapa clave,Negro,Melamina,Con ruedas,3,1480,4440,2024-04-25
242,Gabetero de 2 cajas con chapa adicional,Azul,Metal,De hogar,9,980,8820,2024-04-21
243,Casillero de dos puertas,Negro,Melamina,Sin chapa,10,1850,18500,2024-02-06
244,Gabetero de 2 cajas sin chapa,Azul,Metal,Sin cerradura,6,830,4980,2024-03-25
245,Estante para farmacia de dos cuerpos,Blanco,Metal,De pared,9,3550,31950,2024-01-25
246,Camillas para masajes,Blanco,Melamina,Sin barillas,2,1250,2500,2024-05-26
247,Gabetero de 2 cajas con chapa adicional,Rojo,Melamina,De hogar,1,980,980,2024-02-29
248,Casillero de 6 puertas,Azul,Melamina,Sin chapa,9,1750,15750,2024-01-25
249,Estante para farmacia de dos cuerpos,Rojo,Melamina,Con puertas,6,3550,21300,2024-04-30
250,Cajero para supermercado,Rojo,Metal,Sin agregado,2,1200,2400,2024-04-19
251,Gabetero con chapa independiente,Negro,Metal,De oficina,6,1750,10500,2024-03-12
252,Casillero de 1 cuerpo y 4 puertas,Blanco,Melamina,Sin espejo,10,980,9800,2024-03-30
253,Gabetero de 4 cajas,Rojo,Metal,Con cerradura,9,1380,12420,2024-04-09
254,Silla mesedora,Blanco,Metal,Acolchonada,7,500,3500,2024-03-20
255,Estanteria tipo vitrin,Rojo,Metal,Con puertas,10,650,6500,2024-03-12
256,Escritorio secretarial de cuatro cajas con chapa clave,Negro,Melamina,Con chapas,2,1480,2960,2024-04-03
257,Horno domestico,Rojo,Metal,Sin ventilador,2,1350,2700,2024-03-15
258,Casillero de 6 puertas,Azul,Melamina,Con espejo,2,1750,3500,2024-03-04
259,Casillero de cuatro puertas,Rojo,Metal,Con espejo,6,1550,9300,2024-02-16
260,Silla estática,Azul,Metal,Sin brazos,9,140,1260,2024-03-31
261,Gabetero con chapa independiente,Azul,Metal,Con cerradura,1,1750,1750,2024-02-21
262,Silla estática con brazo,Gris,Melamina,Sin brazos,8,320,2560,2024-02-29
263,Gabetero de 5 cajas,Rojo,Melamina,Con cerradura,10,1600,16000,2024-04-18
264,Estante mostrador,Azul,Metal,Sin puertas,6,520,3120,2024-03-28
265,Casillero de 20 puertas,Azul,Melamina,Con espejo,10,2800,28000,2024-04-07
266,Casillero de 9 puertas,Rojo,Metal,Con chapa,5,1850,9250,2024-01-22
267,Silla de espera,Rojo,Melamina,Sin brazos,10,950,9500,2024-01-15
268,Casillero de 20 puertas,Blanco,Metal,Con chapa,7,2800,19600,2024-01-24
269,Gabetero de 2 cajas sin chapa,Gris,Metal,Con cerradura,7,830,5810,2024-04-05
270,Estanteria tipo vitrin,Azul,Metal,De pie,1,650,650,2024-03-28
271,Casillero de 1 cuerpo y 4 puertas,Azul,Melamina,Sin espejo,6,980,5880,2024-02-12
272,Archivador de Chapas Individuales,Negro,Metal,Sin agregado,1,1400,1400,2024-03-13
273,Vitrina de puertas corredizas,Azul,Metal,De madera,1,1900,1900,2024-03-18
274,Vitrina para farmacia,Rojo,Metal,Con iluminación,1,1100,1100,2024-03-08
275,Silla estática con brazo,Azul,Melamina,Acolchonada,10,320,3200,2024-02-11
276,Casillero de 20 puertas,Gris,Melamina,Con espejo,8,2800,22400,2024-03-21
277,Silla mesedora,Blanco,Metal,Con brazos,9,500,4500,2024-01-24
278,Casillero de dos puertas,Blanco,Metal,Sin chapa,4,1850,7400,2024-05-08
279,Gabetero de 2 cajas sin chapa,Rojo,Melamina,Con cerradura,5,830,4150,2024-03-06
280,Silla mesedora,Rojo,Melamina,Con brazos,8,500,4000,2024-02-08
281,Estante para farmacia de dos cuerpos,Rojo,Melamina,Con puertas,4,3550,14200,2024-05-24
282,Gabetero de 4 cajas,Negro,Metal,De hogar,1,1380,1380,2024-02-04
283,Broastera simple,Gris,Melamina,Sin agregado,3,1100,3300,2024-03-02
284,Taburete médico,Negro,Melamina,Sin agregado,3,630,1890,2024-05-25
285,Estante para farmacia,Blanco,Melamina,De pared,3,3500,10500,2024-03-28
286,Casillero de 12 puertas,Azul,Metal,Sin chapa,10,2200,22000,2024-02-13
287,Gabetero de 2 cajas sin chapa,Rojo,Metal,Con cerradura,10,830,8300,2024-05-08
288,Gabetero con chapa independiente,Rojo,Metal,De oficina,6,1750,10500,2024-02-13
289,Estante para farmacia,Azul,Metal,De pie,7,3500,24500,2024-01-28
290,Estante para farmacia,Rojo,Metal,De pared,3,3500,10500,2024-02-04
291,Estante para farmacia,Rojo,Metal,De pared,4,3500,14000,2024-03-03
292,Camilla de ginecología,Gris,Metal,Fija,2,1850,3700,2024-05-02
293,Silla de espera,Negro,Metal,Con brazos,10,950,9500,2024-05-17
294,Casillero de cuatro puertas,Gris,Metal,Con espejo,7,1550,10850,2024-03-14
295,Casillero de 15 puertas,Rojo,Metal,Sin espejo,5,2290,11450,2024-03-24
296,Estante para farmacia de dos cuerpos,Negro,Metal,De pared,7,3550,24850,2024-01-29
297,Gabetero de 3 cajas,Rojo,Metal,Sin cerradura,8,1250,10000,2024-02-15
298,Silla mesedora,Azul,Melamina,Sin brazos,9,500,4500,2024-05-10
299,Archivador de Chapas Individuales,Blanco,Metal,Sin agregado,1,1400,1400,2024-02-06
300,Silla mesedora,Blanco,Metal,Acolchonada,6,500,3000,2024-01-23
301,Silla giratoria,Azul,Metal,Con brazos,6,990,5940,2024-03-09
302,Gabetero con chapa independiente,Gris,Metal,De oficina,10,1750,17500,2024-02-04
303,Silla giratoria,Gris,Metal,Acolchonada,9,990,8910,2024-04-18
304,Lámpara de cuello ganzo,Azul,Melamina,Sin agregado,3,550,1650,2024-02-08
305,Gabetero de 2 cajas sin chapa,Rojo,Metal,De oficina,6,830,4980,2024-02-29
306,Casillero de 1 cuerpo y 4 puertas,Azul,Metal,Sin chapa,6,980,5880,2024-04-18
307,Gabetero de 3 cajas,Negro,Melamina,De oficina,10,1250,12500,2024-01-20
308,Archivador de Chapas Individuales,Rojo,Metal,Sin agregado,1,1400,1400,2024-01-11
309,Gabetero de 3 cajas,Blanco,Metal,Sin cerradura,9,1250,11250,2024-04-22
310,Gabetero de 2 cajas con chapa adicional,Negro,Melamina,De oficina,10,980,9800,2024-02-01
311,Ropero casillero,Blanco,Melamina,Sin agregado,1,2500,2500,2024-03-12
312,Gabetero de 2 cajas sin chapa,Rojo,Melamina,Con cerradura,10,830,8300,2024-03-28
313,Casillero de 15 puertas,Negro,Melamina,Sin espejo,7,2290,16030,2024-02-15
314,Estante mostrador,Negro,Metal,Con puertas,8,520,4160,2024-04-02
315,Casillero de 9 puertas,Rojo,Melamina,Sin espejo,8,1850,14800,2024-03-22
316,Silla giratoria,Gris,Metal,Con brazos,8,990,7920,2024-02-24
317,Silla estática con brazo,Gris,Melamina,Con brazos,10,320,3200,2024-02-05
